From,To,Subject,Time,noofattachments,noofattachments_downloaded
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019190639 for 07AABCH3165P2Z8 | DELHI | 19-MAY-24.,2024-05-20 05:03:27 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019190636 for 07AABCH3165P2Z8 | DELHI | 19-MAY-24.,2024-05-20 05:03:17 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019190635 for 07AABCH3165P2Z8 | DELHI | 19-MAY-24.,2024-05-20 05:03:14 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019190621 for 07AADCH7426B1ZW | DELHI | 19-MAY-24.,2024-05-20 05:02:33 IST,1,1
"""'GST Revenue Accounting' via JubilantGST"" <JubilantGST@yatra.com>",JUBILANTGST@yatra.com,Your GST Invoice I070000019190619 for 06AADCC4657M2ZC | DELHI | 19-MAY-24.,2024-05-20 05:02:26 IST,1,1
"""'GST Revenue Accounting' via JubilantGST"" <JubilantGST@yatra.com>",JUBILANTGST@yatra.com,Your GST Invoice I070000019190618 for 06AADCC4657M2ZC | DELHI | 19-MAY-24.,2024-05-20 05:02:23 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019190617 for 07AABCH3165P2Z8 | DELHI | 19-MAY-24.,2024-05-20 05:02:19 IST,1,1
"""'GST Revenue Accounting' via JubilantGST"" <JubilantGST@yatra.com>",JUBILANTGST@yatra.com,Your GST Invoice I070000019190608 for 06AADCC4657M2ZC | DELHI | 19-MAY-24.,2024-05-20 05:01:52 IST,1,1
"""'GST Revenue Accounting' via Techmahindra Gst"" <techmahindra.gst@yatra.com>",TECHMAHINDRA.GST@yatra.com,Your GST Invoice I070000019190590 for 09AAACM3484F1ZG | DELHI | 19-MAY-24.,2024-05-20 05:01:04 IST,1,1
"""'GST Revenue Accounting' via GreenkoGST"" <GreenkoGST@yatra.com>",GREENKOGST@yatra.com,Your GST Invoice I070000019190423 for 08AAICG7055N1Z0 | DELHI | 19-MAY-24.,2024-05-20 04:55:04 IST,1,1
"""'GST Revenue Accounting' via GreenkoGST"" <GreenkoGST@yatra.com>",GREENKOGST@yatra.com,Your GST Invoice I070000019190422 for 29AAICG2691J1Z4 | DELHI | 19-MAY-24.,2024-05-20 04:55:01 IST,1,1
"""'GST Revenue Accounting' via GreenkoGST"" <GreenkoGST@yatra.com>",GREENKOGST@yatra.com,Your GST Invoice I070000019190421 for 24AADCT9493Q1ZE | DELHI | 19-MAY-24.,2024-05-20 04:54:57 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019190420 for 36AADCM3491M1Z2 | DELHI | 19-MAY-24.,2024-05-20 04:54:54 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019190057 for 29AABCT0596J2ZX | DELHI | 19-MAY-24.,2024-05-20 04:42:03 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",TRAVELADMIN@renewpower.in,Your GST Invoice I070000019188745 for 06AAFCR1111D1Z4 | DELHI | 19-MAY-24.,2024-05-20 04:28:16 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",BPCL.GST@yatra.com,Your GST Invoice I070000019188726 for 27AAACB2902M1ZT | DELHI | 19-MAY-24.,2024-05-20 04:27:21 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",YATRA.GST@yatra.com,Your GST Invoice I070000019188727 for 06AAACW1336L1ZC | DELHI | 19-MAY-24.,2024-05-20 04:27:25 IST,1,1
"""'GST Revenue Accounting' via Yatra Gst"" <yatra.gst@yatra.com>",TRAVELADMIN@renewpower.in,Your GST Invoice I070000019188717 for 06AAFCR1111D1Z4 | DELHI | 19-MAY-24.,2024-05-20 04:26:50 IST,1,1
